# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:dens[1]-dens[1]        7:dens[1]-dens[2]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[3]-dens[3]       11:T-dens[1]             12:T-dens[2]             13:T-dens[3]          
  234       7.420189299233e-10       1.747199246646e-13       4.776814756946e-12       0.000000000000e+00       2.977451562744e-03       2.402441126263e-03       2.224487007861e-03       1.772225873635e-03       1.701274017176e-03       2.606258710912e-09       2.690119823245e-09       2.620724222733e-09 
  235       7.409000856155e-10       1.810118233661e-13       4.998763874730e-12       0.000000000000e+00       2.985195247658e-03       2.408800879493e-03       2.230356131485e-03       1.776692990452e-03       1.705217841165e-03       2.588477860868e-09       2.672627955386e-09       2.604082571793e-09 
  236       7.397021439324e-10       1.875609793822e-13       5.220934215581e-12       0.000000000000e+00       2.992916650924e-03       2.415150019484e-03       2.236226886417e-03       1.781168691175e-03       1.709166151825e-03       2.570877959328e-09       2.655326045141e-09       2.587609755132e-09 
  237       7.384255328041e-10       1.943704203602e-13       5.443232098394e-12       0.000000000000e+00       3.000615543030e-03       2.421488020567e-03       2.242098741091e-03       1.785652976816e-03       1.713119790683e-03       2.553450868444e-09       2.638208798474e-09       2.571303346205e-09 
  238       7.370707083944e-10       2.014431497029e-13       5.665561972125e-12       0.000000000000e+00       3.008291641448e-03       2.427814298880e-03       2.247971101026e-03       1.790145806381e-03       1.717079587215e-03       2.536187827654e-09       2.621270387677e-09       2.555160504097e-09 
  239       7.356381553492e-10       2.087821459328e-13       5.887826402989e-12       0.000000000000e+00       3.015944609697e-03       2.434128211429e-03       2.253843307836e-03       1.794647096141e-03       1.721046358438e-03       2.519079445412e-09       2.604504443993e-09       2.539177967505e-09 
  240       7.341283870466e-10       2.163903620560e-13       6.109926061660e-12       0.000000000000e+00       3.023574056392e-03       2.440429055156e-03       2.259714638248e-03       1.799156718909e-03       1.725020908511e-03       2.502115690920e-09       2.587904050260e-09       2.523352048721e-09 
  241       7.325419458459e-10       2.242707249261e-13       6.331759710468e-12       0.000000000000e+00       3.031179534311e-03       2.446716066008e-03       2.265584303110e-03       1.803674503315e-03       1.729004028325e-03       2.485285885850e-09       2.571461733535e-09       2.507678627621e-09 
  242       7.308794033377e-10       2.324261346082e-13       6.553224190599e-12       0.000000000000e+00       3.038760539450e-03       2.452988417994e-03       2.271451446413e-03       1.808200233079e-03       1.732996495105e-03       2.468578696078e-09       2.555169457735e-09       2.492153145643e-09 
  243       7.291413605924e-10       2.408594637428e-13       6.774214409294e-12       0.000000000000e+00       3.046316510079e-03       2.459245222262e-03       2.277315144295e-03       1.812733646288e-03       1.736999072003e-03       2.451982123408e-09       2.539018616266e-09       2.476770599776e-09 
  244       7.273284484106e-10       2.495735569100e-13       6.994623327044e-12       0.000000000000e+00       3.053846825804e-03       2.465485526155e-03       2.283174404063e-03       1.817274434671e-03       1.741012507695e-03       2.435483497303e-09       2.523000024658e-09       2.461525536540e-09 
  245       7.254413275718e-10       2.585712299932e-13       7.214341944793e-12       0.000000000000e+00       3.061350806624e-03       2.471708312285e-03       2.289028163200e-03       1.821822242872e-03       1.745037535977e-03       2.419069466610e-09       2.507103913199e-09       2.446412045974e-09 
  246       7.234806890844e-10       2.678552695432e-13       7.433259291134e-12       0.000000000000e+00       3.068827711986e-03       2.477912497592e-03       2.294875288383e-03       1.826376667726e-03       1.749074875362e-03       2.402725991292e-09       2.491319919569e-09       2.431423755617e-09 
