# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:dens[1]-dens[1]        7:dens[1]-dens[2]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[3]-dens[3]       11:T-dens[1]             12:T-dens[2]             13:T-dens[3]          
  223       7.490109146792e-10       1.215997560640e-13       2.374934613899e-12       0.000000000000e+00       2.890815840258e-03       2.331878259380e-03       2.160126325282e-03       1.723613963246e-03       1.657936543535e-03       2.815519594142e-09       2.896069575915e-09       2.815222717112e-09 
  224       7.487825599370e-10       1.252679462242e-13       2.588789313237e-12       0.000000000000e+00       2.898803695141e-03       2.338335773024e-03       2.165959427803e-03       1.727998012679e-03       1.661889598104e-03       2.795381027777e-09       2.876284026068e-09       2.796676225481e-09 
  225       7.484721926280e-10       1.291586713608e-13       2.803775973055e-12       0.000000000000e+00       2.906768563353e-03       2.344784882033e-03       2.171796138500e-03       1.732388069666e-03       1.665837202490e-03       2.775474193061e-09       2.856713552289e-09       2.778299632154e-09 
  226       7.480799465819e-10       1.332751838301e-13       3.019820636678e-12       0.000000000000e+00       2.914710736392e-03       2.351225639237e-03       2.177636552783e-03       1.736784549462e-03       1.669780304159e-03       2.755797256029e-09       2.837358244813e-09       2.760094671623e-09 
  227       7.476059811176e-10       1.376207187407e-13       3.236847618310e-12       0.000000000000e+00       2.922630463100e-03       2.357658049544e-03       2.183480713995e-03       1.741187833288e-03       1.673719842966e-03       2.736347850994e-09       2.818217741226e-09       2.742062730180e-09 
  228       7.470504812927e-10       1.421984933169e-13       3.454779490229e-12       0.000000000000e+00       2.930527948722e-03       2.364082069012e-03       2.189328612428e-03       1.745598267609e-03       1.677656750749e-03       2.717123072276e-09       2.799291219102e-09       2.724204839909e-09 
  229       7.464136581529e-10       1.470117062633e-13       3.673537069987e-12       0.000000000000e+00       2.938403353963e-03       2.370497603906e-03       2.195180184336e-03       1.750016163404e-03       1.681591950926e-03       2.698119465930e-09       2.780577388636e-09       2.706521672663e-09 
  230       7.456957489812e-10       1.520635371283e-13       3.893039407612e-12       0.000000000000e+00       2.946256794048e-03       2.376904509772e-03       2.201035310945e-03       1.754441795446e-03       1.685526358094e-03       2.679333021475e-09       2.762074485276e-09       2.689013534053e-09 
  231       7.448970175479e-10       1.573571456683e-13       4.113203772799e-12       0.000000000000e+00       2.954088337778e-03       2.383302590498e-03       2.206893817474e-03       1.758875401574e-03       1.689460877622e-03       2.660759163619e-09       2.743780262360e-09       2.671680357428e-09 
  232       7.440177543596e-10       1.628956712116e-13       4.333945642115e-12       0.000000000000e+00       2.961898006592e-03       2.389691597384e-03       2.212755472142e-03       1.763317181968e-03       1.693396405249e-03       2.642392743993e-09       2.725691983742e-09       2.654521697863e-09 
  233       7.430582769088e-10       1.686822320224e-13       4.555178686197e-12       0.000000000000e+00       2.969685773619e-03       2.396071228201e-03       2.218619985183e-03       1.767767298425e-03       1.697333826678e-03       2.624228032873e-09       2.707806416437e-09       2.637536726140e-09 
