# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.653471056656e+13       2.764665746462e-24       2.803062670864e-08       5.898658416793e+20       1.418981512722e+04       8.581834601883e-10       2.346244861215e+17       1.618388271099e-08       2.056674012917e+41       1.114597697834e+31       6.020638286587e+31       3.487799415444e-08       1.422743098170e+41       3.479417111800e+41       3.479417111800e+41       1.159805703696e+41      -1.655014800147e+49       2.001122656332e-05       5.556455875219e-01 
       1.641977216143e+13       2.803506535532e-24       2.822707756422e-08       5.816936279014e+20       1.418981512722e+04       8.641907444097e-10       2.329935314017e+17       1.629716988996e-08       2.000080972955e+41       1.091515054585e+31       5.895954514163e+31       3.487799415444e-08       1.383593793757e+41       3.383674767410e+41       3.383674767410e+41       1.127891588904e+41      -1.598286124262e+49       2.008878945698e-05       5.535002377645e-01 
       1.630563273230e+13       2.842892998849e-24       2.842534740921e-08       5.736346349158e+20       1.418981512722e+04       8.702400796205e-10       2.313739140037e+17       1.641125007918e-08       1.945045191047e+41       1.068910438898e+31       5.773852867150e+31       3.487799415444e-08       1.345521752019e+41       3.290566943750e+41       3.290566943750e+41       1.096855647689e+41      -1.543501928069e+49       2.016635235065e-05       5.513713906976e-01 
       1.619228672522e+13       2.882832802588e-24       2.862361725420e-08       5.656872941211e+20       1.418981512722e+04       8.763317601778e-10       2.297655551179e+17       1.652612882973e-08       1.891523816472e+41       1.046773951110e+31       5.654279871294e+31       3.487799415444e-08       1.308497330159e+41       3.200021147301e+41       3.200021147301e+41       1.066673715544e+41      -1.490595560950e+49       2.024391524432e-05       5.492588566350e-01 
       1.607972862485e+13       2.923333720630e-24       2.882370608859e-08       5.578500586476e+20       1.418981512722e+04       8.824660824991e-10       2.281683764825e+17       1.664181173153e-08       1.839475177619e+41       1.025095896577e+31       5.537183159760e+31       3.487799415444e-08       1.272491701056e+41       3.111966879331e+41       3.111966879331e+41       1.037322292892e+41      -1.439502656859e+49       2.032147813799e-05       5.471624487867e-01 
       1.596795295417e+13       2.964403636070e-24       2.902561391238e-08       5.501214030565e+20       1.418981512722e+04       8.886433450766e-10       2.265823003798e+17       1.675830441364e-08       1.788858749550e+41       1.003866781424e+31       5.422511450202e+31       3.487799415444e-08       1.237476830815e+41       3.026335581008e+41       3.026335581008e+41       1.008778526789e+41      -1.390161056017e+49       2.039904103166e-05       5.450819832034e-01 
       1.585695427425e+13       3.006050542752e-24       2.922934072558e-08       5.424998230430e+20       1.418981512722e+04       8.948638484921e-10       2.250072496324e+17       1.687561254453e-08       1.739635122440e+41       9.830773083881e+30       5.310214522295e+31       3.487799415444e-08       1.203425456947e+41       2.943060580016e+41       2.943060580016e+41       9.810201931290e+40      -1.342510729285e+49       2.047660392534e-05       5.430172787230e-01 
       1.574672718396e+13       3.048282546825e-24       2.943488652818e-08       5.349838351434e+20       1.418981512722e+04       9.011278954315e-10       2.234431475992e+17       1.699374183233e-08       1.691765970894e+41       9.627183727472e+30       5.200243195751e+31       3.487799415444e-08       1.170311067137e+41       2.862077038648e+41       2.862077038648e+41       9.540256793438e+40      -1.296493705131e+49       2.055416681901e-05       5.409681569179e-01 
       1.563726631972e+13       3.091107868324e-24       2.964043233078e-08       5.275719764467e+20       1.418981512722e+04       9.074357906995e-10       2.218899181720e+17       1.711269802515e-08       1.645214024112e+41       9.427810583327e+30       5.092549308774e+31       3.487799415444e-08       1.138107878603e+41       2.783321903319e+41       2.783321903319e+41       9.277739675719e+40      -1.252053999107e+49       2.063172971268e-05       5.389344420438e-01 
       1.552856635524e+13       3.134534842765e-24       2.984779712278e-08       5.202628043094e+20       1.418981512722e+04       9.137878412344e-10       2.203474857716e+17       1.723248691132e-08       1.599943036864e+41       9.232566336245e+30       4.987085696970e+31       3.487799415444e-08       1.106790818024e+41       2.706733855479e+41       2.706733855479e+41       9.022446182959e+40      -1.209137545732e+49       2.070929260635e-05       5.369159609889e-01 
