# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.5
# for k=1.04434e-05 to 34.4277 h/Mpc,
# number of wavenumbers equal to 581
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.471888614043e-03      -2.396490142157e+00      -1.616925987169e+01      -1.617305759862e+01      -2.398469925788e+00      -1.616637322906e+01       5.339819925502e-01       5.339839848116e-01 
       1.561356198792e-03      -2.342327123668e+00      -1.799398875448e+01      -1.799833336637e+01      -2.334301538634e+00      -1.799073074304e+01       5.330070316067e-01       5.330099059206e-01 
       1.653831991542e-03      -2.309249762747e+00      -1.998699923106e+01      -1.999192360385e+01      -2.291564281909e+00      -1.998333255402e+01       5.319808654466e-01       5.319837561864e-01 
       1.749116833919e-03      -2.310600847986e+00      -2.215335206016e+01      -2.215889115943e+01      -2.285717463861e+00      -2.214924522803e+01       5.309049859955e-01       5.309070867470e-01 
       1.847009008762e-03      -2.339956947259e+00      -2.449726853248e+01      -2.450345703106e+01      -2.311218376991e+00      -2.449268526122e+01       5.297815119657e-01       5.297824905086e-01 
       1.947309120826e-03      -2.372537961857e+00      -2.702213970683e+01      -2.702901550908e+01      -2.343191966833e+00      -2.701703396401e+01       5.286130412276e-01       5.286131615800e-01 
       2.049823909406e-03      -2.379396017616e+00      -2.973060438911e+01      -2.973821328503e+01      -2.352361624438e+00      -2.972492276670e+01       5.274023605887e-01       5.274022606949e-01 
       2.154369025832e-03      -2.346574583978e+00      -3.262462756086e+01      -3.263302119735e+01      -2.324653872472e+00      -3.261831452927e+01       5.261509808114e-01       5.261512585181e-01 
       2.260770884333e-03      -2.286001651712e+00      -3.570554334546e+01      -3.571478371819e+01      -2.271714083895e+00      -3.569855673667e+01       5.248616698825e-01       5.248625413509e-01 
       2.368867734073e-03      -2.228833538898e+00      -3.897411508329e+01      -3.898428834274e+01      -2.223338769569e+00      -3.896644629517e+01       5.235366352781e-01       5.235378699245e-01 
       2.478510111406e-03      -2.204243875546e+00      -4.243084519109e+01      -4.244203767353e+01      -2.205856975389e+00      -4.242249794176e+01       5.221811768323e-01       5.221823216344e-01 
       2.589560823709e-03      -2.218417653457e+00      -4.607558885875e+01      -4.608791392417e+01      -2.222109102269e+00      -4.606659185287e+01       5.207956886944e-01       5.207964027700e-01 
       2.701894597817e-03      -2.250069851513e+00      -4.990798947406e+01      -4.992156874582e+01      -2.249063627087e+00      -4.989836881587e+01       5.193823925471e-01       5.193826555130e-01 
       2.815397503264e-03      -2.266937485037e+00      -5.392742264314e+01      -5.394238715211e+01      -2.255962580866e+00      -5.391719865349e+01       5.179435622889e-01       5.179436305087e-01 
       2.929966237363e-03      -2.250924234027e+00      -5.813305651597e+01      -5.814954571570e+01      -2.229065083222e+00      -5.812224977293e+01       5.164819023190e-01       5.164820792047e-01 
       3.045507338073e-03      -2.211799454337e+00      -6.252381206467e+01      -6.254196694167e+01      -2.182732056604e+00      -6.251245006626e+01       5.149990012632e-01       5.149994130997e-01 
       3.161936372647e-03      -2.177969714526e+00      -6.709839032659e+01      -6.711836428854e+01      -2.147199767190e+00      -6.708652451303e+01       5.134965636223e-01       5.134971042903e-01 
       3.279177135512e-03      -2.171752167924e+00      -7.185553187131e+01      -7.187746348918e+01      -2.142916694841e+00      -7.184321125663e+01       5.119770805923e-01       5.119775410803e-01 
       3.397160877577e-03      -2.190080183144e+00      -7.679375269864e+01      -7.681777921206e+01      -2.163255992584e+00      -7.678102383065e+01       5.104420896203e-01       5.104423451884e-01 
       3.515825580634e-03      -2.207396267737e+00      -8.191145791826e+01      -8.193771819007e+01      -2.180702186932e+00      -8.189835776410e+01       5.088928018212e-01       5.088929014933e-01 
       3.635115284348e-03      -2.198347393929e+00      -8.720687986108e+01      -8.723552394541e+01      -2.171195464265e+00      -8.719344463149e+01       5.073298793767e-01       5.073299747124e-01 
       3.754979468977e-03      -2.160363255625e+00      -9.267852139145e+01      -9.270967576414e+01      -2.132529729891e+00      -9.266476700204e+01       5.057558887377e-01       5.057560641697e-01 
       3.875372493938e-03      -2.115946552102e+00      -9.832455949477e+01      -9.835835512647e+01      -2.081875271059e+00      -9.831051544419e+01       5.041716124462e-01       5.041718833361e-01 
       3.996253090442e-03      -2.092508374341e+00      -1.041432696106e+02      -1.041798526037e+02      -2.048326156624e+00      -1.041289913474e+02       5.025786872089e-01       5.025789511605e-01 
       4.117583905166e-03      -2.097811936507e+00      -1.101324774475e+02      -1.101720105554e+02      -2.045154928287e+00      -1.101180398545e+02       5.009765133694e-01       5.009766578250e-01 
       4.239331091335e-03      -2.113388039105e+00      -1.162907847063e+02      -1.163334131228e+02      -2.057175916283e+00      -1.162762409018e+02       4.993681138301e-01       4.993681221817e-01 
       4.361463943222e-03      -2.111879592460e+00      -1.226159748679e+02      -1.226618904160e+02      -2.056788774787e+00      -1.226014061376e+02       4.977529632451e-01       4.977529230597e-01 
       4.483954570095e-03      -2.082515079618e+00      -1.291063355979e+02      -1.291557216308e+02      -2.031262951925e+00      -1.290918117234e+02       4.961325256633e-01       4.961325440337e-01 
       4.606777605700e-03      -2.041119038070e+00      -1.357598983936e+02      -1.358129775235e+02      -1.994248672976e+00      -1.357455297425e+02       4.945074401387e-01       4.945075516031e-01 
       4.729909949615e-03      -2.015416793017e+00      -1.425747119983e+02      -1.426317149646e+02      -1.971266910892e+00      -1.425606285164e+02       4.928782577708e-01       4.928784062443e-01 
